Date : 2026-02-13 08:51:15
Directory : /home/babs/PycharmProjects/MusicLibrary
Total : 174 files,  34792 codes, 5645 comments, 8159 blanks, all 48596 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/babs/PycharmProjects/MusicLibrary/assets/plus.svg                       | XML              |          4 |          1 |          2 |          7 |
| /home/babs/PycharmProjects/MusicLibrary/assets/previous_button.svg            | XML              |         25 |          4 |          6 |         35 |
| /home/babs/PycharmProjects/MusicLibrary/assets/repeat_all.svg                 | XML              |         15 |          2 |          3 |         20 |
| /home/babs/PycharmProjects/MusicLibrary/assets/repeat_none.svg                | XML              |         16 |          3 |          4 |         23 |
| /home/babs/PycharmProjects/MusicLibrary/assets/repeat_one.svg                 | XML              |         21 |          3 |          4 |         28 |
| /home/babs/PycharmProjects/MusicLibrary/assets/rewind_button.svg              | XML              |         14 |          1 |          1 |         16 |
| /home/babs/PycharmProjects/MusicLibrary/assets/show_queue.svg                 | XML              |         13 |          2 |          3 |         18 |
| /home/babs/PycharmProjects/MusicLibrary/assets/shuffle_button.svg             | XML              |         16 |          3 |          4 |         23 |
| /home/babs/PycharmProjects/MusicLibrary/assets/statistics.svg                 | XML              |         16 |          4 |          7 |         27 |
| /home/babs/PycharmProjects/MusicLibrary/assets/stop_button.svg                | XML              |         29 |          7 |          6 |         42 |
| /home/babs/PycharmProjects/MusicLibrary/assets/toggle_navigation.svg          | XML              |         11 |          3 |          4 |         18 |
| /home/babs/PycharmProjects/MusicLibrary/award_detail.py                       | Python           |        338 |         41 |         77 |        456 |
| /home/babs/PycharmProjects/MusicLibrary/award_new.py                          | Python           |        163 |         35 |         33 |        231 |
| /home/babs/PycharmProjects/MusicLibrary/award_relationship_dialog.py          | Python           |        189 |         34 |         69 |        292 |
| /home/babs/PycharmProjects/MusicLibrary/award_view.py                         | Python           |        350 |         63 |         96 |        509 |
| /home/babs/PycharmProjects/MusicLibrary/base_album_edit.py                    | Python           |        696 |         90 |        186 |        972 |
| /home/babs/PycharmProjects/MusicLibrary/base_album_widget.py                  | Python           |        160 |         17 |         45 |        222 |
| /home/babs/PycharmProjects/MusicLibrary/base_merge_dialog.py                  | Python           |        477 |         84 |        126 |        687 |
| /home/babs/PycharmProjects/MusicLibrary/base_split_dialog.py                  | Python           |        190 |         29 |         42 |        261 |
| /home/babs/PycharmProjects/MusicLibrary/base_track_playlist_dialog.py         | Python           |         39 |          6 |         16 |         61 |
| /home/babs/PycharmProjects/MusicLibrary/base_track_view.py                    | Python           |        386 |         85 |         97 |        568 |
| /home/babs/PycharmProjects/MusicLibrary/config/config.ini                     | Ini              |         47 |          0 |         11 |         58 |
| /home/babs/PycharmProjects/MusicLibrary/config/import_paths.json              | JSON             |         34 |          0 |          0 |         34 |
| /home/babs/PycharmProjects/MusicLibrary/config_dialog.py                      | Python           |        216 |         37 |         75 |        328 |
| /home/babs/PycharmProjects/MusicLibrary/config_setup.py                       | Python           |        335 |        107 |        101 |        543 |
| /home/babs/PycharmProjects/MusicLibrary/dates_calendar.py                     | Python           |        237 |         36 |         45 |        318 |
| /home/babs/PycharmProjects/MusicLibrary/dates_timeline.py                     | Python           |         89 |         12 |         26 |        127 |
| /home/babs/PycharmProjects/MusicLibrary/dates_view.py                         | Python           |        372 |         61 |         84 |        517 |
| /home/babs/PycharmProjects/MusicLibrary/db_defaults.py                        | Python           |        111 |          6 |         14 |        131 |
| /home/babs/PycharmProjects/MusicLibrary/db_helpers.py                         | Python           |        587 |         98 |        133 |        818 |
| /home/babs/PycharmProjects/MusicLibrary/db_mapping_albums.py                  | Python           |        179 |          0 |          5 |        184 |
| /home/babs/PycharmProjects/MusicLibrary/db_mapping_artists.py                 | Python           |        127 |          0 |          5 |        132 |
| /home/babs/PycharmProjects/MusicLibrary/db_mapping_tracks.py                  | Python           |        618 |          0 |          5 |        623 |
| /home/babs/PycharmProjects/MusicLibrary/db_tables.py                          | Python           |        971 |         54 |        174 |      1,199 |
| /home/babs/PycharmProjects/MusicLibrary/disc_edit.py                          | Python           |         40 |          7 |         12 |         59 |
| /home/babs/PycharmProjects/MusicLibrary/disc_sorting.py                       | Python           |        118 |         32 |         29 |        179 |
| /home/babs/PycharmProjects/MusicLibrary/disc_view.py                          | Python           |        162 |         39 |         49 |        250 |
| /home/babs/PycharmProjects/MusicLibrary/display_dialog.py                     | Python           |         71 |         25 |         31 |        127 |
| /home/babs/PycharmProjects/MusicLibrary/display_settings.py                   | Python           |         85 |         52 |         36 |        173 |
| /home/babs/PycharmProjects/MusicLibrary/equalizer_dialog.py                   | Python           |        212 |         43 |         62 |        317 |
| /home/babs/PycharmProjects/MusicLibrary/equalizer_utility.py                  | Python           |        263 |         37 |         49 |        349 |
| /home/babs/PycharmProjects/MusicLibrary/file_manager.py                       | Python           |        226 |         32 |         69 |        327 |
| /home/babs/PycharmProjects/MusicLibrary/file_manager_dialog.py                | Python           |        373 |         33 |         75 |        481 |
