"filename", "language", "Properties", "XML", "Python", "C++", "Markdown", "Makefile", "JSON", "CMake", "C", "JavaScript", "GLSL", "reStructuredText", "PostCSS", "HTML", "Shell Script", "CUDA C++", "Batch", "Ini", "PowerShell", "Jinja", "Log", "comment", "blank", "total"
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/display_functions.py", "Python", 0, 0, -106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -248, -38, -392
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/display_trap.py", "Python", 0, 0, -25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -31, -15, -71
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/displayhook.py", "Python", 0, 0, -169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -116, -47, -332
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/displaypub.py", "Python", 0, 0, -37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -80, -22, -139
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/error.py", "Python", 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -45, -10, -61
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/events.py", "Python", 0, 0, -48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -97, -17, -162
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/excolors.py", "Python", 0, 0, -84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -58, -24, -166
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/extensions.py", "Python", 0, 0, -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -54, -24, -152
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/formatters.py", "Python", 0, 0, -420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -481, -128, -1029
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/getipython.py", "Python", 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, -5, -25
